,cell_segid
0,648518346349526691
1,648518346349528994
2,648518346349489861
3,648518346349522740
4,648518346349538285
5,648518346349487752
6,648518346349493894
7,648518346349538179
8,648518346349522735
9,648518346349489985
10,648518346349531994
11,648518346349517783
12,648518346349487432
13,648518346349477331
14,648518346349539846
15,648518346349488919
16,648518346349537389
17,648518346349515986
18,648518346349522749
19,648518346349538370
20,648518346349525188
21,648518346349491816
22,648518346349537404
23,648518346349525190
24,648518346349516051
25,648518346349522750
26,648518346349538638
27,648518346349515985
28,648518346349518096
29,648518346349516055
30,648518346349536849
31,648518346349538789
32,648518346349539215
33,648518346349538791
